id,reference
336,Human-written text for id 336 describing its meaning representation.
336,Gold text for id 336 describing its meaning representation.
524,Reference text for id 524 describing its meaning representation.
524,Human-written text for id 524 describing its meaning representation.
524,Gold text for id 524 describing its meaning representation.
2027,Reference text for id 2027 describing its meaning representation.
2027,Human-written text for id 2027 describing its meaning representation.
2027,Gold text for id 2027 describing its meaning representation.
82,Reference text for id 82 describing its meaning representation.
82,Human-written text for id 82 describing its meaning representation.
82,Gold text for id 82 describing its meaning representation.
477,Reference text for id 477 describing its meaning representation.
477,Human-written text for id 477 describing its meaning representation.
477,Gold text for id 477 describing its meaning representation.
1987,Reference text for id 1987 describing its meaning representation.
1987,Human-written text for id 1987 describing its meaning representation.
1987,Gold text for id 1987 describing its meaning representation.
533,Reference text for id 533 describing its meaning representation.
533,Human-written text for id 533 describing its meaning representation.
533,Gold text for id 533 describing its meaning representation.
1546,Reference text for id 1546 describing its meaning representation.
1546,Human-written text for id 1546 describing its meaning representation.
1546,Gold text for id 1546 describing its meaning representation.
683,Reference text for id 683 describing its meaning representation.
683,Human-written text for id 683 describing its meaning representation.
683,Gold text for id 683 describing its meaning representation.
664,Reference text for id 664 describing its meaning representation.
664,Human-written text for id 664 describing its meaning representation.
664,Gold text for id 664 describing its meaning representation.
1807,Reference text for id 1807 describing its meaning representation.
1807,Human-written text for id 1807 describing its meaning representation.
1807,Gold text for id 1807 describing its meaning representation.
1401,Reference text for id 1401 describing its meaning representation.
1401,Human-written text for id 1401 describing its meaning representation.
1401,Gold text for id 1401 describing its meaning representation.
1799,Reference text for id 1799 describing its meaning representation.
1799,Human-written text for id 1799 describing its meaning representation.
1799,Gold text for id 1799 describing its meaning representation.
1041,Reference text for id 1041 describing its meaning representation.
1041,Human-written text for id 1041 describing its meaning representation.
1041,Gold text for id 1041 describing its meaning representation.
1774,Reference text for id 1774 describing its meaning representation.
1774,Human-written text for id 1774 describing its meaning representation.
1774,Gold text for id 1774 describing its meaning representation.
1447,Reference text for id 1447 describing its meaning representation.
1447,Human-written text for id 1447 describing its meaning representation.
1447,Gold text for id 1447 describing its meaning representation.
817,Reference text for id 817 describing its meaning representation.
817,Human-written text for id 817 describing its meaning representation.
817,Gold text for id 817 describing its meaning representation.
1562,Reference text for id 1562 describing its meaning representation.
1562,Human-written text for id 1562 describing its meaning representation.
1562,Gold text for id 1562 describing its meaning representation.
1233,Reference text for id 1233 describing its meaning representation.
1233,Human-written text for id 1233 describing its meaning representation.
1233,Gold text for id 1233 describing its meaning representation.
1677,Reference text for id 1677 describing its meaning representation.
1677,Human-written text for id 1677 describing its meaning representation.
1677,Gold text for id 1677 describing its meaning representation.
1752,Reference text for id 1752 describing its meaning representation.
1752,Human-written text for id 1752 describing its meaning representation.
1752,Gold text for id 1752 describing its meaning representation.
635,Reference text for id 635 describing its meaning representation.
635,Human-written text for id 635 describing its meaning representation.
635,Gold text for id 635 describing its meaning representation.
394,Reference text for id 394 describing its meaning representation.
394,Human-written text for id 394 describing its meaning representation.
394,Gold text for id 394 describing its meaning representation.
335,Reference text for id 335 describing its meaning representation.
335,Human-written text for id 335 describing its meaning representation.
335,Gold text for id 335 describing its meaning representation.
286,Reference text for id 286 describing its meaning representation.
286,Human-written text for id 286 describing its meaning representation.
286,Gold text for id 286 describing its meaning representation.
1332,Reference text for id 1332 describing its meaning representation.
1332,Human-written text for id 1332 describing its meaning representation.
1332,Gold text for id 1332 describing its meaning representation.
661,Reference text for id 661 describing its meaning representation.
661,Human-written text for id 661 describing its meaning representation.
661,Gold text for id 661 describing its meaning representation.
81,Reference text for id 81 describing its meaning representation.
81,Human-written text for id 81 describing its meaning representation.
81,Gold text for id 81 describing its meaning representation.
150,Reference text for id 150 describing its meaning representation.
150,Human-written text for id 150 describing its meaning representation.
150,Gold text for id 150 describing its meaning representation.
2145,Reference text for id 2145 describing its meaning representation.
2145,Human-written text for id 2145 describing its meaning representation.
2145,Gold text for id 2145 describing its meaning representation.
2127,Reference text for id 2127 describing its meaning representation.
2127,Human-written text for id 2127 describing its meaning representation.
2127,Gold text for id 2127 describing its meaning representation.
1494,Reference text for id 1494 describing its meaning representation.
1494,Human-written text for id 1494 describing its meaning representation.
1494,Gold text for id 1494 describing its meaning representation.
1443,Reference text for id 1443 describing its meaning representation.
1443,Human-written text for id 1443 describing its meaning representation.
1443,Gold text for id 1443 describing its meaning representation.
1300,Reference text for id 1300 describing its meaning representation.
1300,Human-written text for id 1300 describing its meaning representation.
1300,Gold text for id 1300 describing its meaning representation.
1914,Reference text for id 1914 describing its meaning representation.
1914,Human-written text for id 1914 describing its meaning representation.
1914,Gold text for id 1914 describing its meaning representation.
2065,Reference text for id 2065 describing its meaning representation.
2065,Human-written text for id 2065 describing its meaning representation.
2065,Gold text for id 2065 describing its meaning representation.
