id,topic,dialogue_text,candidate_summary,reference_summary_1,reference_summary_2,human_score
manual_002w_1,informal_greetings,"JANE: Hi, Helen! How’s it going? HELEN: Fine, thanks — and you?",Jane greets Helen and they exchange quick pleasantries.,A brief hello between Jane and Helen as they ask how each other is going.,Casual greetings are traded by two friends.,3.22
manual_002w_2,informal_greetings,JANE: Just fine. Where are you off to? HELEN: To the library. I’ve got a history exam next week and need to start studying. Ugh.,Jane asks where Helen is headed; Helen says to the library to study for a history exam.,They chat about plans—Helen is going to the library to prepare for an upcoming history test.,Conversation about Helen’s destination and needing to study at the library for next week’s exam.,3.19
manual_002w_3,informal_greetings,"JANE: Oh, no. Well, I’ll see you later then. Good luck! HELEN: Thanks. See you later.",They wrap up the chat; Jane wishes Helen luck and they say goodbye.,The friends end the conversation with good‑bye and good‑luck wishes.,A closing exchange: farewell and encouragement for Helen’s study.,3.02
manual_003w_1,formal_introductions,"MARGARET: Mr. Wilson, I’d like you to meet Dr. Edward Smith. MR. WILSON: It’s nice to meet you, Dr. Smith.",Margaret introduces Dr. Smith to Mr. Wilson and they greet each other.,An introduction is made between Dr. Smith and Mr. Wilson; both exchange polite greetings.,Margaret connects Mr. Wilson with Dr. Smith and they acknowledge one another.,3.28
manual_003w_2,formal_introductions,"DR. SMITH: Pleasure to meet you, too. MARGARET: Dr. Smith is an economist. He just finished writing a book on international trade.",Margaret explains Wilson is an economist who has just finished a book on international trade.,Background is given: Mr. Wilson is an economist and recent author on trade.,Margaret highlights Wilson’s profession and his new book about international trade.,3.12
manual_003w_3,formal_introductions,"MR. WILSON: Oh? That’s my field, too. I work for the United Nations. DR. SMITH: In the Development Program, by any chance?",Mr. Wilson notes he works at the United Nations; Dr. Smith asks if it’s the Development Program.,"Wilson mentions his UN role, prompting Smith to guess the Development Program.",They discuss Wilson’s UN position with Smith narrowing it to the Development Program.,2.79
manual_003w_4,formal_introductions,MR. WILSON: Yes. How did you guess? DR. SMITH: I’ve read your articles on technical assistance. They’re excellent.,Wilson confirms and Smith praises his articles on technical assistance.,Confirmation of the UN department followed by Smith complimenting Wilson’s published work.,Wilson says yes and Smith says he’s read and liked Wilson’s technical‑assistance articles.,3.09
manual_004w_1,informal_introductions,JIM: Who’s the tall woman next to Barbara? CHARLES: That’s her friend Mary. Didn’t you meet her at Steve’s party?,"Jim asks about the tall woman; Charles says she’s Mary, Barbara’s friend, and asks if Jim met her before.","Curious about a woman, Jim learns from Charles that she is Mary, a friend of Barbara.",Identification exchange: the woman is Mary; Charles wonders if Jim met her at Steve’s party.,2.76
manual_004w_2,informal_introductions,"JIM: No, I wasn’t at Steve’s party. CHARLES: Oh! Then let me introduce you to her now. Mary, this is my friend Jim.","Jim didn’t attend Steve’s party, so Charles proceeds to introduce him to Mary.","After Jim says he wasn’t at the party, Charles offers to introduce him to Mary then and there.","Lacking a prior meeting, Charles makes a live introduction between Jim and Mary.",3.22
manual_004w_3,informal_introductions,"MARY: Hi, Jim. Nice to meet you. JIM: You, too. Would you like a drink?",Mary greets Jim and he offers to get her a drink.,A friendly greeting between Mary and Jim ends with Jim offering refreshments.,They exchange pleasantries; Jim asks if Mary would like a drink.,4.99
manual_005w_1,time_and_plans,NATASHA: What time is it? We’re going to be late! TONY: It’s a quarter after seven. We’re on time. Don’t panic.,Natasha worries they are late; Tony checks the time (7:15) and reassures her they are on schedule.,Concern about lateness is eased when Tony says it’s only a quarter past seven and they’re fine.,The pair discuss timing; Tony reassures Natasha they are not late.,2.95
manual_005w_2,time_and_plans,"NATASHA: But I thought we had to be at the restaurant by 7:30 for the surprise party. We’ll never make it there with all this evening traffic. TONY: Sure we will. Rush hour is almost over. Anyway, the party starts at 8:00. But I do need help with directions. Can you call the restaurant and ask them where we park our car?",Natasha frets about the reservation and parking and asks Tony to call the restaurant.,She asks Tony to phone the restaurant to confirm directions and parking for their reservation.,Logistics talk: Natasha requests a call to the restaurant about where to park.,2.83
manual_006w_1,making_plans,"JOHN: Hi, Alice, it’s John. How are you? ALICE: Oh, hi, John! I was just thinking about you.",John phones Alice to say hello; Alice answers warmly and says she was just thinking of him.,A friendly phone greeting where Alice responds enthusiastically to John’s call.,Opening of a call—John checks in and Alice says he was on her mind.,3.31
manual_006w_2,making_plans,"JOHN: I was wondering if you’d like to go to a movie tonight. ALICE: Sure, I’d love to! What’s playing?","John invites Alice to a movie and she accepts, asking what’s showing.",He proposes going to a film that evening; she agrees and asks about the options.,"They make plans to see a movie, with Alice wondering which one.",2.96
manual_006w_3,making_plans,JOHN: I was thinking about that new comedy Lights Out. What do you think? ALICE: Sounds great!,John suggests the new comedy *Lights Out* and Alice agrees.,The choice lands on the comedy *Lights Out*; Alice says it sounds great.,"They settle on seeing *Lights Out*, with Alice on board.",2.89
manual_007w_1,weather_report,"JENNIFER: What happened to the weather report? I thought this cold front was supposed to pass. GABRIELA: Yeah, I thought so too. That’s what I read online this morning.",Jennifer remarks the forecast was wrong as a cold front lingers; her friend saw the same online.,"They note unexpected cold weather despite the forecast, referencing an online report.",A brief chat about a lingering cold front and a misread forecast from the morning.,2.91
manual_007w_2,weather_report,JENNIFER: I guess the wind chill is really driving down the temperature. GABRIELA: Can we go inside? I feel like my toes are starting to go numb.,"Feeling the wind chill, Jennifer suggests going inside because her toes are numb.",They decide to head indoors as the chill makes Jennifer’s feet go numb.,"Due to biting wind chill, they opt to go inside.",5.0
author_001,doctor_visit,"DOCTOR: Hello, what brings you in today? PATIENT: I’ve had a fever since last night and a bad cough. DOCTOR: Let me confirm a few details for accuracy. PATIENT: Sure, what do you need to know? DOCTOR: We have an alternative if the first option doesn’t work. PATIENT: That could fit my schedule better. DOCTOR: I’ll send a confirmation by email and text. PATIENT: Thanks—how long will processing take? DOCTOR: Typically three to five business days, but I’ll flag it as urgent.","The patient seeks help; doctor provides guidance, sets expectations, and sends confirmation.","A doctor visit conversation where doctor verifies details, offers options, and confirms next steps.","The patient seeks help; doctor provides guidance, sets expectations, and sends confirmation.",3.09
author_002,pharmacy,"CUSTOMER: Hi, do you have this prescription in stock? PHARMACIST: Let me check the system. Yes, we can fill it in fifteen minutes. PHARMACIST: Let me confirm a few details for accuracy. CUSTOMER: Sure, what do you need to know? PHARMACIST: We have an alternative if the first option doesn’t work. CUSTOMER: That could fit my schedule better. PHARMACIST: I’ll send a confirmation by email and text. CUSTOMER: Thanks—how long will processing take?","The customer seeks help; pharmacist provides guidance, sets expectations, and sends confirmation.","A pharmacy conversation where pharmacist verifies details, offers options, and confirms next steps.","The customer seeks help; pharmacist provides guidance, sets expectations, and sends confirmation.",3.1
author_003,immigration_enquiry,"APPLICANT: I’m here to ask about my visa status. OFFICER: Please provide your passport and application number. OFFICER: Let me confirm a few details for accuracy. APPLICANT: Sure, what do you need to know? OFFICER: We have an alternative if the first option doesn’t work. APPLICANT: That could fit my schedule better. OFFICER: I’ll send a confirmation by email and text. APPLICANT: Thanks—how long will processing take? OFFICER: Typically three to five business days, but I’ll flag it as urgent. APPLICANT: I appreciate that. Is there anything else required from me? OFFICER: Just bring a photo ID and the reference number. APPLICANT: Got it. Thank you for your help today.","The applicant seeks help; officer provides guidance, sets expectations, and sends confirmation.","A immigration enquiry conversation where officer verifies details, offers options, and confirms next steps.","The applicant seeks help; officer provides guidance, sets expectations, and sends confirmation.",3.11
author_004,bank_inquiry,"CLIENT: I want to discuss a fee on my statement. BANKER: I’ll review your account and explain the charge. BANKER: Let me confirm a few details for accuracy. CLIENT: Sure, what do you need to know? BANKER: We have an alternative if the first option doesn’t work. CLIENT: That could fit my schedule better. BANKER: I’ll send a confirmation by email and text. CLIENT: Thanks—how long will processing take? BANKER: Typically three to five business days, but I’ll flag it as urgent. CLIENT: I appreciate that. Is there anything else required from me? BANKER: Just bring a photo ID and the reference number.","The client seeks help; banker provides guidance, sets expectations, and sends confirmation.","A bank inquiry conversation where banker verifies details, offers options, and confirms next steps.","The client seeks help; banker provides guidance, sets expectations, and sends confirmation.",3.54
author_005,university_advising,"STUDENT: I need help choosing electives for next term. ADVISOR: Let’s look at your major requirements and interests. ADVISOR: Let me confirm a few details for accuracy. STUDENT: Sure, what do you need to know? ADVISOR: We have an alternative if the first option doesn’t work. STUDENT: That could fit my schedule better. ADVISOR: I’ll send a confirmation by email and text. STUDENT: Thanks—how long will processing take? ADVISOR: Typically three to five business days, but I’ll flag it as urgent. STUDENT: I appreciate that. Is there anything else required from me? ADVISOR: Just bring a photo ID and the reference number.","The student seeks help; advisor provides guidance, sets expectations, and sends confirmation.","A university advising conversation where advisor verifies details, offers options, and confirms next steps.","The student seeks help; advisor provides guidance, sets expectations, and sends confirmation.",4.9
author_006,restaurant_order,"SERVER: Welcome! Table for two? DINER: Yes, and could we see the vegetarian options? SERVER: Let me confirm a few details for accuracy. DINER: Sure, what do you need to know? SERVER: We have an alternative if the first option doesn’t work. DINER: That could fit my schedule better. SERVER: I’ll send a confirmation by email and text. DINER: Thanks—how long will processing take? SERVER: Typically three to five business days, but I’ll flag it as urgent. DINER: I appreciate that. Is there anything else required from me?","The diner seeks help; server provides guidance, sets expectations, and sends confirmation.","A restaurant order conversation where server verifies details, offers options, and confirms next steps.","The diner seeks help; server provides guidance, sets expectations, and sends confirmation.",2.87
author_007,hotel_booking,"GUEST: Do you have any rooms available for this weekend? RECEPTIONIST: We have a queen room and a twin room free. RECEPTIONIST: Let me confirm a few details for accuracy. GUEST: Sure, what do you need to know? RECEPTIONIST: We have an alternative if the first option doesn’t work. GUEST: That could fit my schedule better. RECEPTIONIST: I’ll send a confirmation by email and text. GUEST: Thanks—how long will processing take? RECEPTIONIST: Typically three to five business days, but I’ll flag it as urgent.","The guest seeks help; receptionist provides guidance, sets expectations, and sends confirmation.","A hotel booking conversation where receptionist verifies details, offers options, and confirms next steps.","The guest seeks help; receptionist provides guidance, sets expectations, and sends confirmation.",4.8
author_008,flight_change,"PASSENGER: My flight was canceled—can I rebook for tomorrow? AIRLINE_AGENT: I can re-accommodate you on the 9 a.m. service. AIRLINE_AGENT: Let me confirm a few details for accuracy. PASSENGER: Sure, what do you need to know? AIRLINE_AGENT: We have an alternative if the first option doesn’t work. PASSENGER: That could fit my schedule better. AIRLINE_AGENT: I’ll send a confirmation by email and text. PASSENGER: Thanks—how long will processing take? AIRLINE_AGENT: Typically three to five business days, but I’ll flag it as urgent. PASSENGER: I appreciate that. Is there anything else required from me? AIRLINE_AGENT: Just bring a photo ID and the reference number. PASSENGER: Got it. Thank you for your help today. AIRLINE_AGENT: Let me confirm a few details for accuracy. PASSENGER: Sure, what do you need to know? AIRLINE_AGENT: We have an alternative if the first option doesn’t work. PASSENGER: That could fit my schedule better.","The passenger seeks help; airline_agent provides guidance, sets expectations, and sends confirmation.","A flight change conversation where airline_agent verifies details, offers options, and confirms next steps.","The passenger seeks help; airline_agent provides guidance, sets expectations, and sends confirmation.",3.15
author_009,tech_support,"USER: My laptop won’t start after the update. SUPPORT: Let’s try a power-cycle and check safe mode. SUPPORT: Let me confirm a few details for accuracy. USER: Sure, what do you need to know? SUPPORT: We have an alternative if the first option doesn’t work. USER: That could fit my schedule better. SUPPORT: I’ll send a confirmation by email and text. USER: Thanks—how long will processing take? SUPPORT: Typically three to five business days, but I’ll flag it as urgent.","The user seeks help; support provides guidance, sets expectations, and sends confirmation.","A tech support conversation where support verifies details, offers options, and confirms next steps.","The user seeks help; support provides guidance, sets expectations, and sends confirmation.",3.28
author_010,landlord_tenant,"TENANT: The heater isn’t working again. LANDLORD: I’ll schedule a technician this afternoon. LANDLORD: Let me confirm a few details for accuracy. TENANT: Sure, what do you need to know? LANDLORD: We have an alternative if the first option doesn’t work. TENANT: That could fit my schedule better. LANDLORD: I’ll send a confirmation by email and text. TENANT: Thanks—how long will processing take? LANDLORD: Typically three to five business days, but I’ll flag it as urgent. TENANT: I appreciate that. Is there anything else required from me? LANDLORD: Just bring a photo ID and the reference number. TENANT: Got it. Thank you for your help today. LANDLORD: Let me confirm a few details for accuracy. TENANT: Sure, what do you need to know?","The tenant seeks help; landlord provides guidance, sets expectations, and sends confirmation.","A landlord tenant conversation where landlord verifies details, offers options, and confirms next steps.","The tenant seeks help; landlord provides guidance, sets expectations, and sends confirmation.",2.97
author_011,post_office,"SENDER: I need to send this package express. CLERK: Please complete this customs form and choose tracking. CLERK: Let me confirm a few details for accuracy. SENDER: Sure, what do you need to know? CLERK: We have an alternative if the first option doesn’t work. SENDER: That could fit my schedule better. CLERK: I’ll send a confirmation by email and text. SENDER: Thanks—how long will processing take?","The sender seeks help; clerk provides guidance, sets expectations, and sends confirmation.","A post office conversation where clerk verifies details, offers options, and confirms next steps.","The sender seeks help; clerk provides guidance, sets expectations, and sends confirmation.",2.79
author_012,job_interview,"INTERVIEWER: Tell me about a time you solved a complex problem. CANDIDATE: I led a data migration under a tight deadline. INTERVIEWER: Let me confirm a few details for accuracy. CANDIDATE: Sure, what do you need to know? INTERVIEWER: We have an alternative if the first option doesn’t work. CANDIDATE: That could fit my schedule better. INTERVIEWER: I’ll send a confirmation by email and text. CANDIDATE: Thanks—how long will processing take?","The candidate seeks help; interviewer provides guidance, sets expectations, and sends confirmation.","A job interview conversation where interviewer verifies details, offers options, and confirms next steps.","The candidate seeks help; interviewer provides guidance, sets expectations, and sends confirmation.",2.79
author_013,classroom,"TEACHER: Today we’re practicing conditional sentences. LEARNER: Could you give another example with 'if I were'? TEACHER: Let me confirm a few details for accuracy. LEARNER: Sure, what do you need to know? TEACHER: We have an alternative if the first option doesn’t work. LEARNER: That could fit my schedule better. TEACHER: I’ll send a confirmation by email and text. LEARNER: Thanks—how long will processing take? TEACHER: Typically three to five business days, but I’ll flag it as urgent.","The learner seeks help; teacher provides guidance, sets expectations, and sends confirmation.","A classroom conversation where teacher verifies details, offers options, and confirms next steps.","The learner seeks help; teacher provides guidance, sets expectations, and sends confirmation.",3.16
author_014,call_center,"AGENT: Thanks for calling, how can I help today? CALLER: I need to update my mailing address. AGENT: Let me confirm a few details for accuracy. CALLER: Sure, what do you need to know? AGENT: We have an alternative if the first option doesn’t work. CALLER: That could fit my schedule better. AGENT: I’ll send a confirmation by email and text. CALLER: Thanks—how long will processing take? AGENT: Typically three to five business days, but I’ll flag it as urgent. CALLER: I appreciate that. Is there anything else required from me? AGENT: Just bring a photo ID and the reference number.","The caller seeks help; agent provides guidance, sets expectations, and sends confirmation.","A call center conversation where agent verifies details, offers options, and confirms next steps.","The caller seeks help; agent provides guidance, sets expectations, and sends confirmation.",3.19
author_015,shopping,"CUSTOMER: Do you have this jacket in medium? SHOP_ASSISTANT: Yes, try this one—fitting rooms are on the left. SHOP_ASSISTANT: Let me confirm a few details for accuracy. CUSTOMER: Sure, what do you need to know? SHOP_ASSISTANT: We have an alternative if the first option doesn’t work. CUSTOMER: That could fit my schedule better. SHOP_ASSISTANT: I’ll send a confirmation by email and text. CUSTOMER: Thanks—how long will processing take? SHOP_ASSISTANT: Typically three to five business days, but I’ll flag it as urgent. CUSTOMER: I appreciate that. Is there anything else required from me? SHOP_ASSISTANT: Just bring a photo ID and the reference number.","The customer seeks help; shop_assistant provides guidance, sets expectations, and sends confirmation.","A shopping conversation where shop_assistant verifies details, offers options, and confirms next steps.","The customer seeks help; shop_assistant provides guidance, sets expectations, and sends confirmation.",3.14
author_016,emergency,"OPERATOR: Emergency services, what’s your location? CALLER: 21 King Street; my friend is having chest pain. OPERATOR: Let me confirm a few details for accuracy. CALLER: Sure, what do you need to know? OPERATOR: We have an alternative if the first option doesn’t work. CALLER: That could fit my schedule better. OPERATOR: I’ll send a confirmation by email and text. CALLER: Thanks—how long will processing take? OPERATOR: Typically three to five business days, but I’ll flag it as urgent. CALLER: I appreciate that. Is there anything else required from me? OPERATOR: Just bring a photo ID and the reference number. CALLER: Got it. Thank you for your help today. OPERATOR: Let me confirm a few details for accuracy. CALLER: Sure, what do you need to know? OPERATOR: We have an alternative if the first option doesn’t work. CALLER: That could fit my schedule better.","The caller seeks help; operator provides guidance, sets expectations, and sends confirmation.","A emergency conversation where operator verifies details, offers options, and confirms next steps.","The caller seeks help; operator provides guidance, sets expectations, and sends confirmation.",2.83
author_017,ride_share,"RIDER: Are you my driver for Casey? DRIVER: Yes—please confirm the destination in your app. DRIVER: Let me confirm a few details for accuracy. RIDER: Sure, what do you need to know? DRIVER: We have an alternative if the first option doesn’t work. RIDER: That could fit my schedule better. DRIVER: I’ll send a confirmation by email and text. RIDER: Thanks—how long will processing take?","The rider seeks help; driver provides guidance, sets expectations, and sends confirmation.","A ride share conversation where driver verifies details, offers options, and confirms next steps.","The rider seeks help; driver provides guidance, sets expectations, and sends confirmation.",3.06
author_018,movie_plans,"ALEX: The 7 p.m. show is nearly sold out. CASEY: Let’s book the 9 p.m. and grab dinner first. ALEX: Let me confirm a few details for accuracy. CASEY: Sure, what do you need to know? ALEX: We have an alternative if the first option doesn’t work. CASEY: That could fit my schedule better. ALEX: I’ll send a confirmation by email and text. CASEY: Thanks—how long will processing take? ALEX: Typically three to five business days, but I’ll flag it as urgent. CASEY: I appreciate that. Is there anything else required from me? ALEX: Just bring a photo ID and the reference number. CASEY: Got it. Thank you for your help today. ALEX: Let me confirm a few details for accuracy. CASEY: Sure, what do you need to know? ALEX: We have an alternative if the first option doesn’t work. CASEY: That could fit my schedule better.","The casey seeks help; alex provides guidance, sets expectations, and sends confirmation.","A movie plans conversation where alex verifies details, offers options, and confirms next steps.","The casey seeks help; alex provides guidance, sets expectations, and sends confirmation.",3.03
author_019,sports_tickets,"FAN: Any seats left for Saturday’s match? BOX_OFFICE: We have Section 112, row G, or the upper deck. BOX_OFFICE: Let me confirm a few details for accuracy. FAN: Sure, what do you need to know? BOX_OFFICE: We have an alternative if the first option doesn’t work. FAN: That could fit my schedule better. BOX_OFFICE: I’ll send a confirmation by email and text. FAN: Thanks—how long will processing take? BOX_OFFICE: Typically three to five business days, but I’ll flag it as urgent. FAN: I appreciate that. Is there anything else required from me? BOX_OFFICE: Just bring a photo ID and the reference number.","The fan seeks help; box_office provides guidance, sets expectations, and sends confirmation.","A sports tickets conversation where box_office verifies details, offers options, and confirms next steps.","The fan seeks help; box_office provides guidance, sets expectations, and sends confirmation.",3.05
author_020,visa_appointment,"APPLICANT: I need to schedule a biometrics appointment. CONSULATE_STAFF: The earliest slot is next Thursday at 10 a.m. CONSULATE_STAFF: Let me confirm a few details for accuracy. APPLICANT: Sure, what do you need to know? CONSULATE_STAFF: We have an alternative if the first option doesn’t work. APPLICANT: That could fit my schedule better. CONSULATE_STAFF: I’ll send a confirmation by email and text. APPLICANT: Thanks—how long will processing take? CONSULATE_STAFF: Typically three to five business days, but I’ll flag it as urgent. APPLICANT: I appreciate that. Is there anything else required from me? CONSULATE_STAFF: Just bring a photo ID and the reference number. APPLICANT: Got it. Thank you for your help today. CONSULATE_STAFF: Let me confirm a few details for accuracy. APPLICANT: Sure, what do you need to know? CONSULATE_STAFF: We have an alternative if the first option doesn’t work. APPLICANT: That could fit my schedule better.","The applicant seeks help; consulate_staff provides guidance, sets expectations, and sends confirmation.","A visa appointment conversation where consulate_staff verifies details, offers options, and confirms next steps.","The applicant seeks help; consulate_staff provides guidance, sets expectations, and sends confirmation.",5.0
author_021,doctor_visit,"DOCTOR: Hello, what brings you in today? PATIENT: I’ve had a fever since last night and a bad cough. DOCTOR: Let me confirm a few details for accuracy. PATIENT: Sure, what do you need to know? DOCTOR: We have an alternative if the first option doesn’t work. PATIENT: That could fit my schedule better. DOCTOR: I’ll send a confirmation by email and text. PATIENT: Thanks—how long will processing take? DOCTOR: Typically three to five business days, but I’ll flag it as urgent. PATIENT: I appreciate that. Is there anything else required from me? DOCTOR: Just bring a photo ID and the reference number. PATIENT: Got it. Thank you for your help today. DOCTOR: Let me confirm a few details for accuracy. PATIENT: Sure, what do you need to know?","The patient seeks help; doctor provides guidance, sets expectations, and sends confirmation.","A doctor visit conversation where doctor verifies details, offers options, and confirms next steps.","The patient seeks help; doctor provides guidance, sets expectations, and sends confirmation.",3.06
author_022,pharmacy,"CUSTOMER: Hi, do you have this prescription in stock? PHARMACIST: Let me check the system. Yes, we can fill it in fifteen minutes. PHARMACIST: Let me confirm a few details for accuracy. CUSTOMER: Sure, what do you need to know? PHARMACIST: We have an alternative if the first option doesn’t work. CUSTOMER: That could fit my schedule better. PHARMACIST: I’ll send a confirmation by email and text. CUSTOMER: Thanks—how long will processing take? PHARMACIST: Typically three to five business days, but I’ll flag it as urgent. CUSTOMER: I appreciate that. Is there anything else required from me? PHARMACIST: Just bring a photo ID and the reference number.","The customer seeks help; pharmacist provides guidance, sets expectations, and sends confirmation.","A pharmacy conversation where pharmacist verifies details, offers options, and confirms next steps.","The customer seeks help; pharmacist provides guidance, sets expectations, and sends confirmation.",3.17
author_023,immigration_enquiry,"APPLICANT: I’m here to ask about my visa status. OFFICER: Please provide your passport and application number. OFFICER: Let me confirm a few details for accuracy. APPLICANT: Sure, what do you need to know? OFFICER: We have an alternative if the first option doesn’t work. APPLICANT: That could fit my schedule better. OFFICER: I’ll send a confirmation by email and text. APPLICANT: Thanks—how long will processing take? OFFICER: Typically three to five business days, but I’ll flag it as urgent. APPLICANT: I appreciate that. Is there anything else required from me? OFFICER: Just bring a photo ID and the reference number. APPLICANT: Got it. Thank you for your help today. OFFICER: Let me confirm a few details for accuracy. APPLICANT: Sure, what do you need to know? OFFICER: We have an alternative if the first option doesn’t work.","The applicant seeks help; officer provides guidance, sets expectations, and sends confirmation.","A immigration enquiry conversation where officer verifies details, offers options, and confirms next steps.","The applicant seeks help; officer provides guidance, sets expectations, and sends confirmation.",3.02
author_024,bank_inquiry,"CLIENT: I want to discuss a fee on my statement. BANKER: I’ll review your account and explain the charge. BANKER: Let me confirm a few details for accuracy. CLIENT: Sure, what do you need to know? BANKER: We have an alternative if the first option doesn’t work. CLIENT: That could fit my schedule better. BANKER: I’ll send a confirmation by email and text. CLIENT: Thanks—how long will processing take? BANKER: Typically three to five business days, but I’ll flag it as urgent. CLIENT: I appreciate that. Is there anything else required from me? BANKER: Just bring a photo ID and the reference number. CLIENT: Got it. Thank you for your help today.","The client seeks help; banker provides guidance, sets expectations, and sends confirmation.","A bank inquiry conversation where banker verifies details, offers options, and confirms next steps.","The client seeks help; banker provides guidance, sets expectations, and sends confirmation.",3.07
author_025,university_advising,"STUDENT: I need help choosing electives for next term. ADVISOR: Let’s look at your major requirements and interests. ADVISOR: Let me confirm a few details for accuracy. STUDENT: Sure, what do you need to know? ADVISOR: We have an alternative if the first option doesn’t work. STUDENT: That could fit my schedule better. ADVISOR: I’ll send a confirmation by email and text. STUDENT: Thanks—how long will processing take?","The student seeks help; advisor provides guidance, sets expectations, and sends confirmation.","A university advising conversation where advisor verifies details, offers options, and confirms next steps.","The student seeks help; advisor provides guidance, sets expectations, and sends confirmation.",5.0
