id,topic,source,section,dialogue_title,dialogue_text,reference_summary_1,reference_summary_2,length_turns,num_speakers,source_url,license,source_type,reference_summary,candidate_summary,human_score,sim_source
manual_002w_1,informal_greetings,Everyday Conversations: Learning American English (U.S. Dept. of State),Introductions and Small Talk,Dialogue 1-2: Informal Greetings and Farewells (window 1),"JANE: Hi, Helen! How’s it going?
HELEN: Fine, thanks — and you?",Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,2,https://moustanad.com/assets/uploads/subjects/b_dialogues_everyday_conversations_english_lo_0.pdf,Public domain (U.S. Government work),public_domain,Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,auto_from_ref2
manual_002w_2,informal_greetings,Everyday Conversations: Learning American English (U.S. Dept. of State),Introductions and Small Talk,Dialogue 1-2: Informal Greetings and Farewells (window 2),"JANE: Just fine. Where are you off to?
HELEN: To the library. I’ve got a history exam next week and need to start studying. Ugh.",Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,2,https://moustanad.com/assets/uploads/subjects/b_dialogues_everyday_conversations_english_lo_0.pdf,Public domain (U.S. Government work),public_domain,Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,auto_from_ref2
manual_002w_3,informal_greetings,Everyday Conversations: Learning American English (U.S. Dept. of State),Introductions and Small Talk,Dialogue 1-2: Informal Greetings and Farewells (window 3),"JANE: Oh, no. Well, I’ll see you later then. Good luck!
HELEN: Thanks. See you later.",Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,2,https://moustanad.com/assets/uploads/subjects/b_dialogues_everyday_conversations_english_lo_0.pdf,Public domain (U.S. Government work),public_domain,Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,auto_from_ref2
manual_003w_1,formal_introductions,Everyday Conversations: Learning American English (U.S. Dept. of State),Introductions and Small Talk,Dialogue 1-3: Formal Introductions (window 1),"MARGARET: Mr. Wilson, I’d like you to meet Dr. Edward Smith.
MR. WILSON: It’s nice to meet you, Dr. Smith.",Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,2,https://moustanad.com/assets/uploads/subjects/b_dialogues_everyday_conversations_english_lo_0.pdf,Public domain (U.S. Government work),public_domain,Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,auto_from_ref2
manual_003w_2,formal_introductions,Everyday Conversations: Learning American English (U.S. Dept. of State),Introductions and Small Talk,Dialogue 1-3: Formal Introductions (window 2),"DR. SMITH: Pleasure to meet you, too.
MARGARET: Dr. Smith is an economist. He just finished writing a book on international trade.",Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,2,https://moustanad.com/assets/uploads/subjects/b_dialogues_everyday_conversations_english_lo_0.pdf,Public domain (U.S. Government work),public_domain,Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,auto_from_ref2
manual_003w_3,formal_introductions,Everyday Conversations: Learning American English (U.S. Dept. of State),Introductions and Small Talk,Dialogue 1-3: Formal Introductions (window 3),"MR. WILSON: Oh? That’s my field, too. I work for the United Nations.
DR. SMITH: In the Development Program, by any chance?",Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,2,https://moustanad.com/assets/uploads/subjects/b_dialogues_everyday_conversations_english_lo_0.pdf,Public domain (U.S. Government work),public_domain,Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,auto_from_ref2
manual_003w_4,formal_introductions,Everyday Conversations: Learning American English (U.S. Dept. of State),Introductions and Small Talk,Dialogue 1-3: Formal Introductions (window 4),"MR. WILSON: Yes. How did you guess?
DR. SMITH: I’ve read your articles on technical assistance. They’re excellent.",Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,2,https://moustanad.com/assets/uploads/subjects/b_dialogues_everyday_conversations_english_lo_0.pdf,Public domain (U.S. Government work),public_domain,Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,auto_from_ref2
manual_004w_1,informal_introductions,Everyday Conversations: Learning American English (U.S. Dept. of State),Introductions and Small Talk,Dialogue 1-4: Informal Introductions (window 1),"JIM: Who’s the tall woman next to Barbara?
CHARLES: That’s her friend Mary. Didn’t you meet her at Steve’s party?",Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,2,https://moustanad.com/assets/uploads/subjects/b_dialogues_everyday_conversations_english_lo_0.pdf,Public domain (U.S. Government work),public_domain,Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,auto_from_ref2
manual_004w_2,informal_introductions,Everyday Conversations: Learning American English (U.S. Dept. of State),Introductions and Small Talk,Dialogue 1-4: Informal Introductions (window 2),"JIM: No, I wasn’t at Steve’s party.
CHARLES: Oh! Then let me introduce you to her now. Mary, this is my friend Jim.",Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,2,https://moustanad.com/assets/uploads/subjects/b_dialogues_everyday_conversations_english_lo_0.pdf,Public domain (U.S. Government work),public_domain,Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,auto_from_ref2
manual_004w_3,informal_introductions,Everyday Conversations: Learning American English (U.S. Dept. of State),Introductions and Small Talk,Dialogue 1-4: Informal Introductions (window 3),"MARY: Hi, Jim. Nice to meet you.
JIM: You, too. Would you like a drink?",Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,2,https://moustanad.com/assets/uploads/subjects/b_dialogues_everyday_conversations_english_lo_0.pdf,Public domain (U.S. Government work),public_domain,Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,3,auto_from_ref2
manual_005w_1,time_and_plans,Everyday Conversations: Learning American English (U.S. Dept. of State),Introductions and Small Talk,Dialogue 1-5: What Time Is It? (window 1),"NATASHA: What time is it? We’re going to be late!
TONY: It’s a quarter after seven. We’re on time. Don’t panic.",Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,2,https://moustanad.com/assets/uploads/subjects/b_dialogues_everyday_conversations_english_lo_0.pdf,Public domain (U.S. Government work),public_domain,Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,auto_from_ref2
manual_005w_2,time_and_plans,Everyday Conversations: Learning American English (U.S. Dept. of State),Introductions and Small Talk,Dialogue 1-5: What Time Is It? (window 2),"NATASHA: But I thought we had to be at the restaurant by 7:30 for the surprise party. We’ll never make it there with all this evening traffic.
TONY: Sure we will. Rush hour is almost over. Anyway, the party starts at 8:00. But I do need help with directions. Can you call the restaurant and ask them where we park our car?",Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,2,https://moustanad.com/assets/uploads/subjects/b_dialogues_everyday_conversations_english_lo_0.pdf,Public domain (U.S. Government work),public_domain,Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,auto_from_ref2
manual_006w_1,making_plans,Everyday Conversations: Learning American English (U.S. Dept. of State),Introductions and Small Talk,Dialogue 1-6: A Telephone Call (window 1),"JOHN: Hi, Alice, it’s John. How are you?
ALICE: Oh, hi, John! I was just thinking about you.",Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,2,https://moustanad.com/assets/uploads/subjects/b_dialogues_everyday_conversations_english_lo_0.pdf,Public domain (U.S. Government work),public_domain,Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,auto_from_ref2
manual_006w_2,making_plans,Everyday Conversations: Learning American English (U.S. Dept. of State),Introductions and Small Talk,Dialogue 1-6: A Telephone Call (window 2),"JOHN: I was wondering if you’d like to go to a movie tonight.
ALICE: Sure, I’d love to! What’s playing?",Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,2,https://moustanad.com/assets/uploads/subjects/b_dialogues_everyday_conversations_english_lo_0.pdf,Public domain (U.S. Government work),public_domain,Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,auto_from_ref2
manual_006w_3,making_plans,Everyday Conversations: Learning American English (U.S. Dept. of State),Introductions and Small Talk,Dialogue 1-6: A Telephone Call (window 3),"JOHN: I was thinking about that new comedy Lights Out. What do you think?
ALICE: Sounds great!",Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,2,https://moustanad.com/assets/uploads/subjects/b_dialogues_everyday_conversations_english_lo_0.pdf,Public domain (U.S. Government work),public_domain,Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,auto_from_ref2
manual_007w_1,weather_report,Everyday Conversations: Learning American English (U.S. Dept. of State),Introductions and Small Talk,Dialogue 1-9: Weather Report (window 1),"JENNIFER: What happened to the weather report? I thought this cold front was supposed to pass.
GABRIELA: Yeah, I thought so too. That’s what I read online this morning.",Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,2,https://moustanad.com/assets/uploads/subjects/b_dialogues_everyday_conversations_english_lo_0.pdf,Public domain (U.S. Government work),public_domain,Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,auto_from_ref2
manual_007w_2,weather_report,Everyday Conversations: Learning American English (U.S. Dept. of State),Introductions and Small Talk,Dialogue 1-9: Weather Report (window 2),"JENNIFER: I guess the wind chill is really driving down the temperature.
GABRIELA: Can we go inside? I feel like my toes are starting to go numb.",Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,2,https://moustanad.com/assets/uploads/subjects/b_dialogues_everyday_conversations_english_lo_0.pdf,Public domain (U.S. Government work),public_domain,Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,3,auto_from_ref2
author_001,doctor_visit,Author-created (DialogueSum-Lite),Author-created dialogues,Doctor Consultation,"DOCTOR: Hello, what brings you in today?
PATIENT: I’ve had a fever since last night and a bad cough.
DOCTOR: Let me confirm a few details for accuracy.
PATIENT: Sure, what do you need to know?
DOCTOR: We have an alternative if the first option doesn’t work.
PATIENT: That could fit my schedule better.
DOCTOR: I’ll send a confirmation by email and text.
PATIENT: Thanks—how long will processing take?
DOCTOR: Typically three to five business days, but I’ll flag it as urgent.","A doctor visit conversation where doctor verifies details, offers options, and confirms next steps.","The patient seeks help; doctor provides guidance, sets expectations, and sends confirmation.",9,2,,CC BY 4.0 (author),author_created,"A doctor visit conversation where doctor verifies details, offers options, and confirms next steps.","The patient seeks help; doctor provides guidance, sets expectations, and sends confirmation.",2,auto_from_ref2
author_002,pharmacy,Author-created (DialogueSum-Lite),Author-created dialogues,Picking Up a Prescription,"CUSTOMER: Hi, do you have this prescription in stock?
PHARMACIST: Let me check the system. Yes, we can fill it in fifteen minutes.
PHARMACIST: Let me confirm a few details for accuracy.
CUSTOMER: Sure, what do you need to know?
PHARMACIST: We have an alternative if the first option doesn’t work.
CUSTOMER: That could fit my schedule better.
PHARMACIST: I’ll send a confirmation by email and text.
CUSTOMER: Thanks—how long will processing take?","A pharmacy conversation where pharmacist verifies details, offers options, and confirms next steps.","The customer seeks help; pharmacist provides guidance, sets expectations, and sends confirmation.",8,2,,CC BY 4.0 (author),author_created,"A pharmacy conversation where pharmacist verifies details, offers options, and confirms next steps.","The customer seeks help; pharmacist provides guidance, sets expectations, and sends confirmation.",2,auto_from_ref2
author_003,immigration_enquiry,Author-created (DialogueSum-Lite),Author-created dialogues,Visa Status Enquiry,"APPLICANT: I’m here to ask about my visa status.
OFFICER: Please provide your passport and application number.
OFFICER: Let me confirm a few details for accuracy.
APPLICANT: Sure, what do you need to know?
OFFICER: We have an alternative if the first option doesn’t work.
APPLICANT: That could fit my schedule better.
OFFICER: I’ll send a confirmation by email and text.
APPLICANT: Thanks—how long will processing take?
OFFICER: Typically three to five business days, but I’ll flag it as urgent.
APPLICANT: I appreciate that. Is there anything else required from me?
OFFICER: Just bring a photo ID and the reference number.
APPLICANT: Got it. Thank you for your help today.","A immigration enquiry conversation where officer verifies details, offers options, and confirms next steps.","The applicant seeks help; officer provides guidance, sets expectations, and sends confirmation.",12,2,,CC BY 4.0 (author),author_created,"A immigration enquiry conversation where officer verifies details, offers options, and confirms next steps.","The applicant seeks help; officer provides guidance, sets expectations, and sends confirmation.",2,auto_from_ref2
author_004,bank_inquiry,Author-created (DialogueSum-Lite),Author-created dialogues,Bank Statement Fee Discussion,"CLIENT: I want to discuss a fee on my statement.
BANKER: I’ll review your account and explain the charge.
BANKER: Let me confirm a few details for accuracy.
CLIENT: Sure, what do you need to know?
BANKER: We have an alternative if the first option doesn’t work.
CLIENT: That could fit my schedule better.
BANKER: I’ll send a confirmation by email and text.
CLIENT: Thanks—how long will processing take?
BANKER: Typically three to five business days, but I’ll flag it as urgent.
CLIENT: I appreciate that. Is there anything else required from me?
BANKER: Just bring a photo ID and the reference number.","A bank inquiry conversation where banker verifies details, offers options, and confirms next steps.","The client seeks help; banker provides guidance, sets expectations, and sends confirmation.",11,2,,CC BY 4.0 (author),author_created,"A bank inquiry conversation where banker verifies details, offers options, and confirms next steps.","The client seeks help; banker provides guidance, sets expectations, and sends confirmation.",2,auto_from_ref2
author_005,university_advising,Author-created (DialogueSum-Lite),Author-created dialogues,Course Planning Session,"STUDENT: I need help choosing electives for next term.
ADVISOR: Let’s look at your major requirements and interests.
ADVISOR: Let me confirm a few details for accuracy.
STUDENT: Sure, what do you need to know?
ADVISOR: We have an alternative if the first option doesn’t work.
STUDENT: That could fit my schedule better.
ADVISOR: I’ll send a confirmation by email and text.
STUDENT: Thanks—how long will processing take?
ADVISOR: Typically three to five business days, but I’ll flag it as urgent.
STUDENT: I appreciate that. Is there anything else required from me?
ADVISOR: Just bring a photo ID and the reference number.","A university advising conversation where advisor verifies details, offers options, and confirms next steps.","The student seeks help; advisor provides guidance, sets expectations, and sends confirmation.",11,2,,CC BY 4.0 (author),author_created,"A university advising conversation where advisor verifies details, offers options, and confirms next steps.","The student seeks help; advisor provides guidance, sets expectations, and sends confirmation.",3,auto_from_ref2
author_006,restaurant_order,Author-created (DialogueSum-Lite),Author-created dialogues,Ordering Dinner,"SERVER: Welcome! Table for two?
DINER: Yes, and could we see the vegetarian options?
SERVER: Let me confirm a few details for accuracy.
DINER: Sure, what do you need to know?
SERVER: We have an alternative if the first option doesn’t work.
DINER: That could fit my schedule better.
SERVER: I’ll send a confirmation by email and text.
DINER: Thanks—how long will processing take?
SERVER: Typically three to five business days, but I’ll flag it as urgent.
DINER: I appreciate that. Is there anything else required from me?","A restaurant order conversation where server verifies details, offers options, and confirms next steps.","The diner seeks help; server provides guidance, sets expectations, and sends confirmation.",10,2,,CC BY 4.0 (author),author_created,"A restaurant order conversation where server verifies details, offers options, and confirms next steps.","The diner seeks help; server provides guidance, sets expectations, and sends confirmation.",2,auto_from_ref2
author_007,hotel_booking,Author-created (DialogueSum-Lite),Author-created dialogues,Booking a Hotel Room,"GUEST: Do you have any rooms available for this weekend?
RECEPTIONIST: We have a queen room and a twin room free.
RECEPTIONIST: Let me confirm a few details for accuracy.
GUEST: Sure, what do you need to know?
RECEPTIONIST: We have an alternative if the first option doesn’t work.
GUEST: That could fit my schedule better.
RECEPTIONIST: I’ll send a confirmation by email and text.
GUEST: Thanks—how long will processing take?
RECEPTIONIST: Typically three to five business days, but I’ll flag it as urgent.","A hotel booking conversation where receptionist verifies details, offers options, and confirms next steps.","The guest seeks help; receptionist provides guidance, sets expectations, and sends confirmation.",9,2,,CC BY 4.0 (author),author_created,"A hotel booking conversation where receptionist verifies details, offers options, and confirms next steps.","The guest seeks help; receptionist provides guidance, sets expectations, and sends confirmation.",3,auto_from_ref2
author_008,flight_change,Author-created (DialogueSum-Lite),Author-created dialogues,Rebooking a Canceled Flight,"PASSENGER: My flight was canceled—can I rebook for tomorrow?
AIRLINE_AGENT: I can re-accommodate you on the 9 a.m. service.
AIRLINE_AGENT: Let me confirm a few details for accuracy.
PASSENGER: Sure, what do you need to know?
AIRLINE_AGENT: We have an alternative if the first option doesn’t work.
PASSENGER: That could fit my schedule better.
AIRLINE_AGENT: I’ll send a confirmation by email and text.
PASSENGER: Thanks—how long will processing take?
AIRLINE_AGENT: Typically three to five business days, but I’ll flag it as urgent.
PASSENGER: I appreciate that. Is there anything else required from me?
AIRLINE_AGENT: Just bring a photo ID and the reference number.
PASSENGER: Got it. Thank you for your help today.
AIRLINE_AGENT: Let me confirm a few details for accuracy.
PASSENGER: Sure, what do you need to know?
AIRLINE_AGENT: We have an alternative if the first option doesn’t work.
PASSENGER: That could fit my schedule better.","A flight change conversation where airline_agent verifies details, offers options, and confirms next steps.","The passenger seeks help; airline_agent provides guidance, sets expectations, and sends confirmation.",16,2,,CC BY 4.0 (author),author_created,"A flight change conversation where airline_agent verifies details, offers options, and confirms next steps.","The passenger seeks help; airline_agent provides guidance, sets expectations, and sends confirmation.",2,auto_from_ref2
author_009,tech_support,Author-created (DialogueSum-Lite),Author-created dialogues,Laptop Troubleshooting Call,"USER: My laptop won’t start after the update.
SUPPORT: Let’s try a power-cycle and check safe mode.
SUPPORT: Let me confirm a few details for accuracy.
USER: Sure, what do you need to know?
SUPPORT: We have an alternative if the first option doesn’t work.
USER: That could fit my schedule better.
SUPPORT: I’ll send a confirmation by email and text.
USER: Thanks—how long will processing take?
SUPPORT: Typically three to five business days, but I’ll flag it as urgent.","A tech support conversation where support verifies details, offers options, and confirms next steps.","The user seeks help; support provides guidance, sets expectations, and sends confirmation.",9,2,,CC BY 4.0 (author),author_created,"A tech support conversation where support verifies details, offers options, and confirms next steps.","The user seeks help; support provides guidance, sets expectations, and sends confirmation.",2,auto_from_ref2
